review_item_id,query_bundle_id,blind_label,query_text_zh,response_text,overall_quality_score,evidence_credibility_score,practical_value_score,reviewer_notes,available_blind_labels,pairwise_preference,pairwise_notes
blind_003_A,bundle_003,A,帮我找Anaheim预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐Anaheim交通便捷且位置优越的酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 交通位置极佳，靠近多个景点和设施。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",,,,,,,
blind_003_C,bundle_003,C,帮我找Anaheim预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐Anaheim交通便捷且位置优越的酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 交通位置极佳，靠近Honda Center和Anaheim Stadium。 | 步行即可到达Angel Stadium和Honda Center。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",,,,,,,
blind_004_A,bundle_004,A,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 酒店非常干净。 | 房间非常干净舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 酒店表现不错。 | 房间非常宽敞。",,,,,,,
blind_004_C,bundle_004,C,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店，首选评分高且用户评价清洁度好的选项。
Recommendations:
1. Georgia Tech Hotel Conference Center - 用户多次评价房间非常干净且舒适。 | 住客反馈房间整洁舒适，整体卫生状况良好。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间非常干净舒适，服务周到。 | 酒店始终保持清洁，设施齐全。",,,,,,,
blind_004_B,bundle_004,B,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐Atlanta卫生干净且位置优越的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 整体卫生状况很好。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间宽敞且干净。 | 整体评价不错。",,,,,,,
blind_004_D,bundle_004,D,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐Atlanta卫生干净且舒适的两家酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 整体卫生状况极佳。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间干净舒适。 | 设施齐全且保持清洁。",,,,,,,
blind_005_C,bundle_005,C,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐亚特兰大卫生与服务俱佳的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 酒店非常干净，房间舒适卫生。 | 地理位置优越，整体体验极佳。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间宽敞整洁，住宿体验不错。 | 员工友好且乐于助人。",,,,,,,
blind_005_D,bundle_005,D,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐亚特兰大卫生与服务俱佳的两家酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 前台友好欢迎，礼宾员乐于助人。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间干净舒适，设施齐全。 | 员工友好且乐于助人。",,,,,,,
blind_005_A,bundle_005,A,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐Atlanta卫生干净且服务优秀的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 位置极佳，整体体验很好。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间宽敞舒适。 | 员工友好且乐于助人。",,,,,,,
blind_005_B,bundle_005,B,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐Atlanta卫生干净且服务优秀的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 前台员工友好且乐于助人。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间干净舒适。 | 员工友好且乐于助人。",,,,,,,
blind_006_C,bundle_006,C,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店，但预算需求无证据支持。
Recommendations:
1. Georgia Tech Hotel Conference Center - 酒店非常干净，房间舒适。 | 房间非常干净且舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 酒店不错，房间很舒适。 | 房间宽敞，配有厨房。
Unsupported notice: 用户要求的600元以内预算在证据中未找到支持信息。",,,,,,,
blind_006_B,bundle_006,B,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店，但预算支持不足。
Recommendations:
1. Georgia Tech Hotel Conference Center - 用户评价房间非常干净且舒适。 | 住客反馈房间整洁舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 酒店大堂干净，房间整洁舒适。 | 住客表示酒店始终保持干净。
Unsupported notice: 用户要求的600元以内预算在现有证据中无法验证，故未包含该条件。",,,,,,,
blind_006_D,bundle_006,D,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐Atlanta卫生干净且位置优越的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 整体卫生状况很好。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",,,,,,,
blind_006_A,bundle_006,A,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐Atlanta卫生干净且服务良好的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 房间干净且舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间非常干净舒适。 | 房间始终干净且设施齐全。
Unsupported notice: 用户要求的600元以内预算在现有证据中无法验证。",,,,,,,
blind_007_D,bundle_007,D,帮我找Chicago预算在 600 元以内，而且服务不错的酒店。,"Summary: 推荐两家芝加哥服务优秀的酒店，但预算限制无法验证。
Recommendations:
1. Chicago Marriott at Medical District/UIC - 酒店干净且非常欢迎客人。 | 整体而言，这是一家芝加哥的瑰宝。
2. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 客房和早餐服务很棒。 | 员工非常乐于助人，包括推荐河景游览。
Unsupported notice: 用户要求的600元以内预算限制在当前证据中无法验证。",,,,,,,
blind_007_C,bundle_007,C,帮我找Chicago预算在 600 元以内，而且服务不错的酒店。,"Summary: 推荐两家服务良好的芝加哥酒店，但预算限制无法验证。
Recommendations:
1. Chicago Marriott at Medical District/UIC - 员工友好且入住体验良好。 | 服务出色且价格合理。
2. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 员工非常友好且乐于助人。 | 客房和早餐服务很棒。
Unsupported notice: 用户要求的600元以内预算在证据中未找到支持信息，故未包含价格验证。",,,,,,,
blind_007_B,bundle_007,B,帮我找Chicago预算在 600 元以内，而且服务不错的酒店。,"Summary: 推荐Chicago服务优良且预算友好的酒店。
Recommendations:
1. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 员工乐于助人并提供推荐。 | 房间和早餐服务都很棒。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",,,,,,,
blind_007_A,bundle_007,A,帮我找Chicago预算在 600 元以内，而且服务不错的酒店。,"Summary: 推荐Chicago服务优良且性价比高的酒店。
Recommendations:
1. Chicago Marriott at Medical District/UIC - 员工友好且入住流程顺畅。 | 整体服务与设施令人满意。
2. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 员工乐于助人并提供推荐。 | 前台接待非常友好且高效。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",,,,,,,
blind_008_D,bundle_008,D,我想在Chicago找一家离景点步行 10 分钟内、而且房间设施好的酒店。,"Summary: 推荐两家芝加哥设施优良且位置便利的酒店。
Recommendations:
1. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 房间服务与设施表现优秀。 | 房间舒适且位置极佳。
2. Chicago Marriott at Medical District/UIC - 房间尺寸适宜且设施整洁。 | 整体环境干净，服务友好。",,,,,,,
blind_008_B,bundle_008,B,我想在Chicago找一家离景点步行 10 分钟内、而且房间设施好的酒店。,"Summary: 推荐两家芝加哥设施优良的酒店，但无法验证步行距离。
Recommendations:
1. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 房间舒适且视野极佳，住客对房间非常满意。 | 房间设施优秀，拥有绝佳的河流景观。
2. Chicago Marriott at Medical District/UIC - 房间尺寸适中，浴室空间良好。 | 床垫为定制款，品质优良。
Unsupported notice: 证据中未包含关于景点步行距离的信息，无法验证该需求。",,,,,,,
blind_008_A,bundle_008,A,我想在Chicago找一家离景点步行 10 分钟内、而且房间设施好的酒店。,"Summary: 推荐Chicago设施优良且位置便利的酒店。
Recommendations:
1. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 房间服务与设施评价良好。 | 房间舒适但空间适中。
2. Chicago Marriott at Medical District/UIC - 房间尺寸与卫生状况优秀。 | 整体干净且设施不错。
Unsupported notice: 无法验证步行 10 分钟到达景点的证据。",,,,,,,
blind_008_C,bundle_008,C,我想在Chicago找一家离景点步行 10 分钟内、而且房间设施好的酒店。,"Summary: 推荐Chicago设施优良且房间舒适的酒店。
Recommendations:
1. Hampton Inn Chicago Downtown/N Loop/Michigan Ave - 房间宽敞舒适，视野极佳。 | 房间设施令人满意，景观优美。
2. Chicago Marriott at Medical District/UIC - 房间尺寸合适，设施良好。 | 床垫舒适，配置专业。
Unsupported notice: 无法验证酒店是否满足景点步行 10 分钟内的要求。",,,,,,,
blind_009_C,bundle_009,C,我想在New Orleans找一家离景点步行 10 分钟内、而且位置交通好的酒店。,"Summary: 推荐两家新奥尔良交通便利的酒店。
Recommendations:
1. St. James Hotel, an Ascend Hotel Collection Member - 酒店位于绝佳位置。
2. Best Western Plus French Quarter Landmark Hotel - 酒店位于良好位置。",,,,,,,
blind_009_D,bundle_009,D,我想在New Orleans找一家离景点步行 10 分钟内、而且位置交通好的酒店。,"Summary: 推荐两家新奥尔良交通便利的酒店。
Recommendations:
1. St. James Hotel, an Ascend Hotel Collection Member - 酒店位于新奥尔良景点的合理步行距离内。 | 酒店位置极佳，非常靠近法国区。
2. Best Western Plus French Quarter Landmark Hotel - 酒店位于法国区边缘，但可轻松步行至市中心。 | 酒店位置良好。",,,,,,,
blind_009_B,bundle_009,B,我想在New Orleans找一家离景点步行 10 分钟内、而且位置交通好的酒店。,"Summary: 推荐新奥尔良交通位置优越的酒店。
Recommendations:
1. St. James Hotel, an Ascend Hotel Collection Member - 位置极佳，适合出行。 | 地段优越，服务友好。
2. Best Western Plus French Quarter Landmark Hotel - 位置良好，入住舒适。
Unsupported notice: 用户要求的步行 10 分钟到景点在证据中无法验证。",,,,,,,
blind_009_A,bundle_009,A,我想在New Orleans找一家离景点步行 10 分钟内、而且位置交通好的酒店。,"Summary: 推荐新奥尔良交通位置优越且步行便利的酒店。
Recommendations:
1. St. James Hotel, an Ascend Hotel Collection Member - 位置极佳，步行即可到达主要景点。 | 位于市中心，靠近法国区，交通十分便利。
2. Best Western Plus French Quarter Landmark Hotel - 位置良好，步行即可到达景点核心。 | 虽在边缘但步行距离很近，交通方便。
Unsupported notice: 无法验证步行 10 分钟内到达特定景点的证据。",,,,,,,
blind_010_A,bundle_010,A,我想在Orlando找一家位置交通比较好的酒店。,"Summary: 推荐两家Orlando交通位置便利的酒店。
Recommendations:
1. Orlando Continental Plaza Hotel - 位置极佳，公园易于到达。 | 酒店位置非常棒。
2. Best Western Orlando East Inn & Suites - 位置非常方便。 | 适合度假或商务的好位置。",,,,,,,
blind_010_B,bundle_010,B,我想在Orlando找一家位置交通比较好的酒店。,"Summary: 推荐两家Orlando交通位置便利的酒店。
Recommendations:
1. Orlando Continental Plaza Hotel - 位置极佳，步行可达多家餐厅并方便乘坐公交。 | 可步行至众多餐厅，且能乘坐公交前往奥兰多各地。
2. Best Western Orlando East Inn & Suites - 位于繁忙街道，方便前往奥兰多所有区域。 | 靠近奥兰多桑福德国际机场，交通十分便捷。",,,,,,,
blind_010_D,bundle_010,D,我想在Orlando找一家位置交通比较好的酒店。,"Summary: 推荐Orlando交通位置优越的酒店。
Recommendations:
1. Orlando Continental Plaza Hotel - 位置极佳，公园交通方便。 | 景点交通非常便利。
2. Best Western Orlando East Inn & Suites - 位置非常便利。 | 适合度假或商务，位置良好。",,,,,,,
blind_010_C,bundle_010,C,我想在Orlando找一家位置交通比较好的酒店。,"Summary: 推荐Orlando交通位置便利的酒店。
Recommendations:
1. Orlando Continental Plaza Hotel - 步行可达多家餐厅且可乘公交前往 Orlando 各地。 | 位置极佳，步行至餐厅并搭乘公交十分方便。
2. Best Western Orlando East Inn & Suites - 位置优越，步行即可到达 Orlando 各区。 | 距离 Orlando Sanford 国际机场仅几步之遥。",,,,,,,
blind_011_D,bundle_011,D,帮我找Orlando预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐两家Orlando交通便利的酒店，预算支持待确认。
Recommendations:
1. Orlando Continental Plaza Hotel - 位置极佳，公园易于到达。 | 位置非常棒。
2. Best Western Orlando East Inn & Suites - 位置非常方便。 | 适合度假或商务，位置良好。
Unsupported notice: 用户要求的600元预算限制在现有证据中未找到支持，故未包含该条件。",,,,,,,
blind_011_A,bundle_011,A,帮我找Orlando预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐两家Orlando交通便利的酒店，预算支持不足。
Recommendations:
1. Orlando Continental Plaza Hotel - 位置极佳，步行可达多家餐厅并方便乘坐公交。 | 可步行至众多餐厅，且能乘坐公交前往奥兰多各地。
2. Best Western Orlando East Inn & Suites - 位置便利，靠近奥兰多桑福德国际机场。 | 位于繁忙街道，方便前往奥兰多各个区域。
Unsupported notice: 用户要求的600元以内预算在证据中未找到支持信息。",,,,,,,
blind_011_C,bundle_011,C,帮我找Orlando预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐Orlando交通位置优良且性价比高的酒店。
Recommendations:
1. Orlando Continental Plaza Hotel - 位置极佳，公园交通方便。 | 景点交通非常便利。
2. Best Western Orlando East Inn & Suites - 位置交通十分便利。 | 适合度假或商务，位置良好。
Unsupported notice: 用户要求的600元以内预算在现有证据中无法验证。",,,,,,,
blind_011_B,bundle_011,B,帮我找Orlando预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐Orlando交通便捷且位置优越的酒店。
Recommendations:
1. Orlando Continental Plaza Hotel - 步行可达多家餐厅，且可乘公交前往 Orlando 各地。 | 位置极佳，步行至餐厅方便，公交覆盖全城。
Unsupported notice: 用户要求的 600 元以内预算在现有证据中无法验证。",,,,,,,
blind_012_B,bundle_012,B,请推荐San Diego卫生干净和服务都不错的酒店。,"Summary: 推荐San Diego卫生与服务俱佳的酒店。
Recommendations:
1. Ocean Park Inn - 房间干净舒适，设施更新。 | 维护人员礼貌且响应迅速。
2. Hampton Inn San Diego/Mission Valley - 房间整洁舒适。 | 员工非常友好且乐于助人。",,,,,,,
blind_012_D,bundle_012,D,请推荐San Diego卫生干净和服务都不错的酒店。,"Summary: 推荐San Diego卫生与服务俱佳的酒店。
Recommendations:
1. Ocean Park Inn - 客房及酒店整体非常干净且更新及时。 | 员工非常友好、乐于助人且响应迅速。
2. Hampton Inn San Diego/Mission Valley - 房间干净，酒店设施整洁。 | 所有员工都非常友好且乐于助人。",,,,,,,
blind_012_C,bundle_012,C,请推荐San Diego卫生干净和服务都不错的酒店。,"Summary: 推荐San Diego卫生干净且服务优秀的酒店。
Recommendations:
1. Ocean Park Inn - 房间干净舒适。 | 维护人员礼貌且响应迅速。
2. Hampton Inn San Diego/Mission Valley - 房间干净舒适。 | 员工非常友好且乐于助人。",,,,,,,
blind_012_A,bundle_012,A,请推荐San Diego卫生干净和服务都不错的酒店。,"Summary: 推荐San Diego卫生干净且服务优秀的酒店。
Recommendations:
1. Ocean Park Inn - 房间干净舒适，设施更新。 | 员工友好且乐于助人。
2. Hampton Inn San Diego/Mission Valley - 房间整洁，入住体验好。 | 员工友好且乐于助人。",,,,,,,
blind_013_B,bundle_013,B,我在San Diego想住得安静一点，但不要房间设施太差的酒店。,"Summary: 推荐San Diego安静且设施良好的酒店。
Recommendations:
1. Courtyard by Marriott San Diego Old Town - 环境安静舒适，适合休息。 | 房间干净且空间充足。
2. Hampton Inn San Diego/Mission Valley - 房间安静整洁。 | 酒店设施良好，房间干净。",,,,,,,
blind_013_D,bundle_013,D,我在San Diego想住得安静一点，但不要房间设施太差的酒店。,"Summary: 推荐安静且设施良好的酒店，避免噪音与设施问题。
Recommendations:
1. Courtyard by Marriott San Diego Old Town - 房间安静，交通噪音无碍睡眠。 | 可安静休息，15 分钟可达交流中心。
2. Ocean Park Inn - 房间非常安静且舒适。 | 未发现房间水损问题。",,,,,,,
blind_013_A,bundle_013,A,我在San Diego想住得安静一点，但不要房间设施太差的酒店。,"Summary: 推荐San Diego安静睡眠且房间设施良好的酒店。
Recommendations:
1. Courtyard by Marriott San Diego Old Town - 房间安静舒适，适合好睡眠。 | 房间干净宽敞，设施更新。",,,,,,,
blind_013_C,bundle_013,C,我在San Diego想住得安静一点，但不要房间设施太差的酒店。,"Summary: 推荐San Diego安静睡眠且房间设施良好的酒店。
Recommendations:
1. Courtyard by Marriott San Diego Old Town - 房间安静，交通噪音无干扰。 | 房间整洁，设施满足需求。
2. Ocean Park Inn - 房间非常安静舒适。 | 未发现房间漏水问题。",,,,,,,
blind_014_D,bundle_014,D,我想在San Diego找一家离景点步行 10 分钟内、而且服务好的酒店。,"Summary: 推荐服务优良且位置便利的San Diego酒店。
Recommendations:
1. Ocean Park Inn - 维护人员非常礼貌且响应迅速。 | 酒店位置极佳。
2. Hampton Inn San Diego/Mission Valley - 所有员工都非常友好且乐于助人。
Unsupported notice: 无法验证距离景点步行10分钟内的条件。",,,,,,,
blind_014_C,bundle_014,C,我想在San Diego找一家离景点步行 10 分钟内、而且服务好的酒店。,"Summary: 推荐服务优秀的San Diego酒店，但无法验证步行距离。
Recommendations:
1. Ocean Park Inn - 员工非常友好且乐于助人，提供当地美食和景点推荐。 | 维护人员非常礼貌且响应迅速。
2. Hampton Inn San Diego/Mission Valley - 所有员工都非常友好且乐于助人。 | 服务良好，符合希尔顿标准。
Unsupported notice: 无法验证酒店是否位于景点步行10分钟范围内。",,,,,,,
blind_014_B,bundle_014,B,我想在San Diego找一家离景点步行 10 分钟内、而且服务好的酒店。,"Summary: 推荐服务优秀且位置便利的San Diego酒店。
Recommendations:
1. Ocean Park Inn - 员工礼貌且响应迅速。 | 位置极佳，适合步行前往景点。
2. Hampton Inn San Diego/Mission Valley - 员工非常友好且乐于助人。 | 整体服务表现优秀。
Unsupported notice: 无法验证酒店是否满足景点步行10分钟内的要求。",,,,,,,
blind_014_A,bundle_014,A,我想在San Diego找一家离景点步行 10 分钟内、而且服务好的酒店。,"Summary: 推荐服务优秀且位置便利的San Diego酒店。
Recommendations:
1. Ocean Park Inn - 员工友好且乐于助人。 | 工作人员提供很好的建议。
2. Hampton Inn San Diego/Mission Valley - 所有员工都很友好。 | 服务很好。
Unsupported notice: 无法验证酒店是否位于景点步行10分钟内。",,,,,,,
blind_015_A,bundle_015,A,我想在Seattle找一家房间设施比较好的酒店。,"Summary: 推荐两家Seattle设施舒适的酒店。
Recommendations:
1. Hotel Sorrento - 房间舒适，床品也很舒服。 | 整体是最佳的西雅图酒店体验。
2. Four Points By Sheraton Downtown Seattle Center - 房间宽敞舒适。 | 房间大小合适、干净且床舒适。",,,,,,,
blind_015_B,bundle_015,B,我想在Seattle找一家房间设施比较好的酒店。,"Summary: 推荐两家Seattle设施舒适的酒店
Recommendations:
1. Hotel Sorrento - 房间舒适且宽敞 | 配备舒适的皇后床
2. Four Points By Sheraton Downtown Seattle Center - 房间宽敞舒适 | 床铺舒适包括沙发床",,,,,,,
blind_015_C,bundle_015,C,我想在Seattle找一家房间设施比较好的酒店。,"Summary: 推荐Seattle设施舒适且房间宽敞的酒店。
Recommendations:
1. Hotel Sorrento - 房间舒适，床铺也很舒服。 | 整体住宿体验极佳。
2. Four Points By Sheraton Downtown Seattle Center - 房间宽敞舒适，床铺舒适。 | 房间干净且床铺舒适。",,,,,,,
blind_015_D,bundle_015,D,我想在Seattle找一家房间设施比较好的酒店。,"Summary: 推荐Seattle设施舒适且房间宽敞的酒店。
Recommendations:
1. Hotel Sorrento - 房间宽敞舒适，适合多人入住。 | 床铺舒适，睡眠体验良好。
2. Four Points By Sheraton Downtown Seattle Center - 房间空间大且舒适。 | 床铺舒适，包括可转换沙发床。",,,,,,,
blind_016_A,bundle_016,A,我想在Seattle找一家离景点步行 10 分钟内、而且安静睡眠好的酒店。,"Summary: 推荐两家Seattle酒店，主打安静睡眠体验。
Recommendations:
1. Hotel Sorrento - 住客评价酒店体验极佳，环境令人喜爱。
Unsupported notice: 无法验证步行至景点10分钟内的距离要求。",,,,,,,
blind_016_C,bundle_016,C,我想在Seattle找一家离景点步行 10 分钟内、而且安静睡眠好的酒店。,"Summary: 推荐酒店需满足安静睡眠，但无法验证景点步行距离。
Recommendations:
1. Hotel Sorrento - 空调运行正常且无噪音，街道噪音不是问题。 | 用户反馈街道噪音不影响休息。
Unsupported notice: 用户要求的景点步行 10 分钟内无法验证，故未包含该条件。",,,,,,,
blind_016_D,bundle_016,D,我想在Seattle找一家离景点步行 10 分钟内、而且安静睡眠好的酒店。,"Summary: 推荐Seattle安静睡眠好的酒店。
Recommendations:
1. Hotel Sorrento - 客人称赞酒店体验极佳。 | 客人表示酒店非常可爱。
2. Four Points By Sheraton Downtown Seattle Center - 客人认为酒店满足需求。 | 客人评价酒店非常适合休息。
Unsupported notice: 无法验证距离景点步行 10 分钟内的条件。",,,,,,,
blind_016_B,bundle_016,B,我想在Seattle找一家离景点步行 10 分钟内、而且安静睡眠好的酒店。,"Summary: 推荐 Seattle 安静睡眠好的酒店，但缺乏景点距离证据。
Recommendations:
1. Hotel Sorrento - 空调运行安静，街道噪音不影响睡眠。 | 住客反馈街道噪音不是问题。
Unsupported notice: 用户要求的景点步行 10 分钟内距离在证据中无法验证。",,,,,,,
blind_017_A,bundle_017,A,我想去San Diego，要求离景点步行 10 分钟以内，同时安静睡眠也要好。,"Summary: 推荐两家安静舒适的酒店满足睡眠需求
Recommendations:
1. Ocean Park Inn - 房间非常安静，适合良好睡眠 | 房间安静且舒适
2. Courtyard by Marriott San Diego Old Town - 位于安静舒适的区域 | 房间干净且安静
Unsupported notice: 无法验证距离景点步行时间",,,,,,,
blind_017_D,bundle_017,D,我想去San Diego，要求离景点步行 10 分钟以内，同时安静睡眠也要好。,"Summary: 推荐安静睡眠好的酒店，但无法验证景点步行距离。
Recommendations:
1. Ocean Park Inn - 房间非常安静，适合睡眠。 | 房间安静且舒适。
2. Courtyard by Marriott San Diego Old Town - 可在此享受平静环境。
Unsupported notice: 无法验证景点步行 10 分钟以内的距离要求。",,,,,,,
blind_017_C,bundle_017,C,我想去San Diego，要求离景点步行 10 分钟以内，同时安静睡眠也要好。,"Summary: 推荐San Diego安静睡眠好的酒店，但缺乏景点步行证据。
Recommendations:
1. Ocean Park Inn - 房间非常安静，适合好睡眠。 | 房间安静舒适，睡眠体验佳。
Unsupported notice: 用户要求的景点步行10分钟内，当前证据无法验证。",,,,,,,
blind_017_B,bundle_017,B,我想去San Diego，要求离景点步行 10 分钟以内，同时安静睡眠也要好。,"Summary: 推荐 San Diego 安静睡眠好的酒店，但缺乏景点步行证据。
Recommendations:
1. Ocean Park Inn - 房间安静舒适，适合好眠。 | 部分房间安静，但靠近海滩可能有噪音。
2. Courtyard by Marriott San Diego Old Town - 商务后休息安静，交通便捷。
Unsupported notice: 证据中无景点步行 10 分钟内的支持。",,,,,,,
blind_018_B,bundle_018,B,我想去Seattle，要求预算控制在 500 元以内，同时位置交通也要好。,"Summary: 推荐两家西雅图酒店，满足位置交通需求。
Recommendations:
1. Hotel Sorrento - 位置极佳，是最佳西雅图酒店体验。 | 地理位置优越，性价比高。
2. Four Points By Sheraton Downtown Seattle Center - 步行或搭乘交通即可，性价比高。 | 适合商务或度假，设施齐全。
Unsupported notice: 用户预算500元的要求无法从当前证据中验证，故未作为推荐依据。",,,,,,,
