review_item_id,query_bundle_id,blind_label,query_text_zh,response_text,response_summary,unsupported_notice,response_json,recommendation_count
blind_003_A,bundle_003,A,帮我找Anaheim预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐Anaheim交通便捷且位置优越的酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 交通位置极佳，靠近多个景点和设施。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",推荐Anaheim交通便捷且位置优越的酒店。,用户要求的600元预算限制在现有证据中无法验证。,"{""recommendations"": [{""hotel_id"": ""bfb10d66f821"", ""hotel_name"": ""TownePlace Suites Anaheim Maingate Near Angel Stadium"", ""reasons"": [{""aspect"": ""location_transport"", ""reason_text"": ""交通位置极佳，靠近多个景点和设施。"", ""sentence_id"": ""68d99b391b76ab76_s000""}]}], ""summary"": ""推荐Anaheim交通便捷且位置优越的酒店。"", ""unsupported_notice"": ""用户要求的600元预算限制在现有证据中无法验证。""}",1
blind_003_C,bundle_003,C,帮我找Anaheim预算在 600 元以内，而且位置交通不错的酒店。,"Summary: 推荐Anaheim交通便捷且位置优越的酒店。
Recommendations:
1. TownePlace Suites Anaheim Maingate Near Angel Stadium - 交通位置极佳，靠近Honda Center和Anaheim Stadium。 | 步行即可到达Angel Stadium和Honda Center。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",推荐Anaheim交通便捷且位置优越的酒店。,用户要求的600元预算限制在现有证据中无法验证。,"{""recommendations"": [{""hotel_id"": ""bfb10d66f821"", ""hotel_name"": ""TownePlace Suites Anaheim Maingate Near Angel Stadium"", ""reasons"": [{""aspect"": ""location_transport"", ""reason_text"": ""交通位置极佳，靠近Honda Center和Anaheim Stadium。"", ""sentence_id"": ""68d99b391b76ab76_s000""}, {""aspect"": ""location_transport"", ""reason_text"": ""步行即可到达Angel Stadium和Honda Center。"", ""sentence_id"": ""58a03e970d581959_s000""}]}], ""summary"": ""推荐Anaheim交通便捷且位置优越的酒店。"", ""unsupported_notice"": ""用户要求的600元预算限制在现有证据中无法验证。""}",1
blind_004_A,bundle_004,A,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 酒店非常干净。 | 房间非常干净舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 酒店表现不错。 | 房间非常宽敞。",推荐亚特兰大卫生干净的酒店。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""酒店非常干净。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}, {""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""酒店表现不错。"", ""sentence_id"": ""877849bcb709f0bd_s000""}, {""aspect"": ""cleanliness"", ""reason_text"": ""房间非常宽敞。"", ""sentence_id"": ""588d98086599b735_s005""}]}], ""summary"": ""推荐亚特兰大卫生干净的酒店。"", ""unsupported_notice"": """"}",2
blind_004_C,bundle_004,C,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店，首选评分高且用户评价清洁度好的选项。
Recommendations:
1. Georgia Tech Hotel Conference Center - 用户多次评价房间非常干净且舒适。 | 住客反馈房间整洁舒适，整体卫生状况良好。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间非常干净舒适，服务周到。 | 酒店始终保持清洁，设施齐全。",推荐亚特兰大卫生干净的酒店，首选评分高且用户评价清洁度好的选项。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""用户多次评价房间非常干净且舒适。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}, {""aspect"": ""cleanliness"", ""reason_text"": ""住客反馈房间整洁舒适，整体卫生状况良好。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适，服务周到。"", ""sentence_id"": ""a9b0347bca5861dc_s001""}, {""aspect"": ""cleanliness"", ""reason_text"": ""酒店始终保持清洁，设施齐全。"", ""sentence_id"": ""789e445a28355d5c_s004""}]}], ""summary"": ""推荐亚特兰大卫生干净的酒店，首选评分高且用户评价清洁度好的选项。"", ""unsupported_notice"": """"}",2
blind_004_B,bundle_004,B,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐Atlanta卫生干净且位置优越的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 整体卫生状况很好。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间宽敞且干净。 | 整体评价不错。",推荐Atlanta卫生干净且位置优越的酒店。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}, {""aspect"": ""cleanliness"", ""reason_text"": ""整体卫生状况很好。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间宽敞且干净。"", ""sentence_id"": ""540633ecaaddf7cb_s003""}, {""aspect"": ""cleanliness"", ""reason_text"": ""整体评价不错。"", ""sentence_id"": ""877849bcb709f0bd_s000""}]}], ""summary"": ""推荐Atlanta卫生干净且位置优越的酒店。"", ""unsupported_notice"": """"}",2
blind_004_D,bundle_004,D,我想在Atlanta找一家卫生干净比较好的酒店。,"Summary: 推荐Atlanta卫生干净且舒适的两家酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 整体卫生状况极佳。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间干净舒适。 | 设施齐全且保持清洁。",推荐Atlanta卫生干净且舒适的两家酒店。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}, {""aspect"": ""cleanliness"", ""reason_text"": ""整体卫生状况极佳。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间干净舒适。"", ""sentence_id"": ""a9b0347bca5861dc_s001""}, {""aspect"": ""cleanliness"", ""reason_text"": ""设施齐全且保持清洁。"", ""sentence_id"": ""789e445a28355d5c_s004""}]}], ""summary"": ""推荐Atlanta卫生干净且舒适的两家酒店。"", ""unsupported_notice"": """"}",2
blind_005_C,bundle_005,C,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐亚特兰大卫生与服务俱佳的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 酒店非常干净，房间舒适卫生。 | 地理位置优越，整体体验极佳。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间宽敞整洁，住宿体验不错。 | 员工友好且乐于助人。",推荐亚特兰大卫生与服务俱佳的酒店。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""酒店非常干净，房间舒适卫生。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}, {""aspect"": ""service"", ""reason_text"": ""地理位置优越，整体体验极佳。"", ""sentence_id"": ""a41988dc4f9a96ef_s000""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间宽敞整洁，住宿体验不错。"", ""sentence_id"": ""540633ecaaddf7cb_s003""}, {""aspect"": ""service"", ""reason_text"": ""员工友好且乐于助人。"", ""sentence_id"": ""877849bcb709f0bd_s002""}]}], ""summary"": ""推荐亚特兰大卫生与服务俱佳的酒店。"", ""unsupported_notice"": """"}",2
blind_005_D,bundle_005,D,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐亚特兰大卫生与服务俱佳的两家酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 前台友好欢迎，礼宾员乐于助人。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间干净舒适，设施齐全。 | 员工友好且乐于助人。",推荐亚特兰大卫生与服务俱佳的两家酒店。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}, {""aspect"": ""service"", ""reason_text"": ""前台友好欢迎，礼宾员乐于助人。"", ""sentence_id"": ""4f7e030a6132d7b7_s005""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间干净舒适，设施齐全。"", ""sentence_id"": ""a9b0347bca5861dc_s001""}, {""aspect"": ""service"", ""reason_text"": ""员工友好且乐于助人。"", ""sentence_id"": ""877849bcb709f0bd_s002""}]}], ""summary"": ""推荐亚特兰大卫生与服务俱佳的两家酒店。"", ""unsupported_notice"": """"}",2
blind_005_A,bundle_005,A,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐Atlanta卫生干净且服务优秀的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 位置极佳，整体体验很好。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间宽敞舒适。 | 员工友好且乐于助人。",推荐Atlanta卫生干净且服务优秀的酒店。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}, {""aspect"": ""service"", ""reason_text"": ""位置极佳，整体体验很好。"", ""sentence_id"": ""a41988dc4f9a96ef_s000""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间宽敞舒适。"", ""sentence_id"": ""588d98086599b735_s005""}, {""aspect"": ""service"", ""reason_text"": ""员工友好且乐于助人。"", ""sentence_id"": ""877849bcb709f0bd_s002""}]}], ""summary"": ""推荐Atlanta卫生干净且服务优秀的酒店。"", ""unsupported_notice"": """"}",2
blind_005_B,bundle_005,B,请推荐Atlanta卫生干净和服务都不错的酒店。,"Summary: 推荐Atlanta卫生干净且服务优秀的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 前台员工友好且乐于助人。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间干净舒适。 | 员工友好且乐于助人。",推荐Atlanta卫生干净且服务优秀的酒店。,,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}, {""aspect"": ""service"", ""reason_text"": ""前台员工友好且乐于助人。"", ""sentence_id"": ""4f7e030a6132d7b7_s005""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间干净舒适。"", ""sentence_id"": ""a9b0347bca5861dc_s001""}, {""aspect"": ""service"", ""reason_text"": ""员工友好且乐于助人。"", ""sentence_id"": ""877849bcb709f0bd_s002""}]}], ""summary"": ""推荐Atlanta卫生干净且服务优秀的酒店。"", ""unsupported_notice"": """"}",2
blind_006_C,bundle_006,C,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店，但预算需求无证据支持。
Recommendations:
1. Georgia Tech Hotel Conference Center - 酒店非常干净，房间舒适。 | 房间非常干净且舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 酒店不错，房间很舒适。 | 房间宽敞，配有厨房。
Unsupported notice: 用户要求的600元以内预算在证据中未找到支持信息。",推荐亚特兰大卫生干净的酒店，但预算需求无证据支持。,用户要求的600元以内预算在证据中未找到支持信息。,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""酒店非常干净，房间舒适。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}, {""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净且舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""酒店不错，房间很舒适。"", ""sentence_id"": ""877849bcb709f0bd_s000""}, {""aspect"": ""cleanliness"", ""reason_text"": ""房间宽敞，配有厨房。"", ""sentence_id"": ""588d98086599b735_s005""}]}], ""summary"": ""推荐亚特兰大卫生干净的酒店，但预算需求无证据支持。"", ""unsupported_notice"": ""用户要求的600元以内预算在证据中未找到支持信息。""}",2
blind_006_B,bundle_006,B,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐亚特兰大卫生干净的酒店，但预算支持不足。
Recommendations:
1. Georgia Tech Hotel Conference Center - 用户评价房间非常干净且舒适。 | 住客反馈房间整洁舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 酒店大堂干净，房间整洁舒适。 | 住客表示酒店始终保持干净。
Unsupported notice: 用户要求的600元以内预算在现有证据中无法验证，故未包含该条件。",推荐亚特兰大卫生干净的酒店，但预算支持不足。,用户要求的600元以内预算在现有证据中无法验证，故未包含该条件。,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""用户评价房间非常干净且舒适。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}, {""aspect"": ""cleanliness"", ""reason_text"": ""住客反馈房间整洁舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""酒店大堂干净，房间整洁舒适。"", ""sentence_id"": ""a9b0347bca5861dc_s001""}, {""aspect"": ""cleanliness"", ""reason_text"": ""住客表示酒店始终保持干净。"", ""sentence_id"": ""789e445a28355d5c_s004""}]}], ""summary"": ""推荐亚特兰大卫生干净的酒店，但预算支持不足。"", ""unsupported_notice"": ""用户要求的600元以内预算在现有证据中无法验证，故未包含该条件。""}",2
blind_006_D,bundle_006,D,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐Atlanta卫生干净且位置优越的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 整体卫生状况很好。
Unsupported notice: 用户要求的600元预算限制在现有证据中无法验证。",推荐Atlanta卫生干净且位置优越的酒店。,用户要求的600元预算限制在现有证据中无法验证。,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}, {""aspect"": ""cleanliness"", ""reason_text"": ""整体卫生状况很好。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}]}], ""summary"": ""推荐Atlanta卫生干净且位置优越的酒店。"", ""unsupported_notice"": ""用户要求的600元预算限制在现有证据中无法验证。""}",1
blind_006_A,bundle_006,A,帮我找Atlanta预算在 600 元以内，而且卫生干净不错的酒店。,"Summary: 推荐Atlanta卫生干净且服务良好的酒店。
Recommendations:
1. Georgia Tech Hotel Conference Center - 房间非常干净舒适。 | 房间干净且舒适。
2. Residence Inn Atlanta Midtown/Peachtree at 17th - 房间非常干净舒适。 | 房间始终干净且设施齐全。
Unsupported notice: 用户要求的600元以内预算在现有证据中无法验证。",推荐Atlanta卫生干净且服务良好的酒店。,用户要求的600元以内预算在现有证据中无法验证。,"{""recommendations"": [{""hotel_id"": ""72a9d2fbc96c"", ""hotel_name"": ""Georgia Tech Hotel Conference Center"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""4f7e030a6132d7b7_s000""}, {""aspect"": ""cleanliness"", ""reason_text"": ""房间干净且舒适。"", ""sentence_id"": ""e22a5ff4dbceef13_s002""}]}, {""hotel_id"": ""bd1ba974bf11"", ""hotel_name"": ""Residence Inn Atlanta Midtown/Peachtree at 17th"", ""reasons"": [{""aspect"": ""cleanliness"", ""reason_text"": ""房间非常干净舒适。"", ""sentence_id"": ""a9b0347bca5861dc_s001""}, {""aspect"": ""cleanliness"", ""reason_text"": ""房间始终干净且设施齐全。"", ""sentence_id"": ""789e445a28355d5c_s004""}]}], ""summary"": ""推荐Atlanta卫生干净且服务良好的酒店。"", ""unsupported_notice"": ""用户要求的600元以内预算在现有证据中无法验证。""}",2
