sentence_id,hotel_id,city,sentence_text,aspect_gold,sentiment_gold,is_multi_aspect,notes
6eda60bbb07c8e50_s010,4ba7bdc9b246,San Diego,They had beach toys for use and showers with hot water at the entrance form the beach so you can wash off the beach in comfort.,room_facilities,positive,0,
6f836748ae8d3271_s016,4ba7bdc9b246,San Diego,"Free breakfast on site was good:: kids like to make their own waffles, good selection of yogurt, bagels, cream cheese, hard-boiled eggs, fresh fruit, toast, jams and cereals, coffee, juice, milk.",general,positive,0,
752a5973845c49a7_s004,e0eeae8afde3,Orlando,"However the room was clean, my bed was made with fresh sheets every day, and the bathroom was spotless.",cleanliness,positive,0,
7ac0ebdb1468018c_s001,f6c6d40a783b,San Francisco,The room was small but nice and clean.,cleanliness;room_facilities,positive,1,
7cca396160465bfe_s001,5ac72eb101c1,Seattle,"Nice friendly staff, well set up clean rooms, close to activities, priced competitively.",location_transport;service;room_facilities;value,positive,1,
87bb7ea1d85019f0_s007,7213d9173df3,San Diego,"The food options were lacking, the fruit was not fresh, the eggs had an odd flavor, there were no breakfast meats at all, and the self-serve coffee was empty and when I politely alerted a staff member, I was basically ignored.",service,negative,0,Food-only complaints are ignored; the staff response is clearly negative.
89361c22dccb7e08_s001,4ba7bdc9b246,San Diego,"The hotel was lovely, and the rooms were spacious and clean.",cleanliness;room_facilities,positive,1,
8962e6d5ecc44443_s000,cabad4abd2ba,Orlando,The room was clean the staff knowledgable helpful.,cleanliness;service,positive,1,
8e15464d93812da1_s001,84953c35a9d0,San Francisco,"Rooms were clean and staff extremely helpful - it was our first time in San Francisco and they sorted us with eating advice, cheap hop on bus tickets...",cleanliness;service,positive,1,
94361d2f4f848bdf_s000,98bd44439ff5,Orlando,"Staff was very friendly, the breakfast was real good there was a lot to choose from, room was clean, bathroom was clean the only thing that was wrong in my room 227 is , the shower needs more water pressure, it took me twice as long to take a shower due to how slow the water was flowing.but over all I was very satisfied with my stay.",cleanliness;service;room_facilities,positive,1,Overall satisfaction dominates a narrower shower complaint; breakfast is ignored.
965de65da6725ac5_s000,b115571efdc5,San Diego,They've updated their rooms so it's brand new everything and also the bathroom is nice and spacious and clean.,room_facilities,positive,0,
9d0e43dfee1cf8a0_s001,bfb10d66f821,Anaheim,"Sure, this is an older hotel, but is clean and kept up well.",cleanliness;room_facilities,positive,1,
a7dda1575a4d275b_s012,bd1ba974bf11,Atlanta,The ceiling/walls in the bathroom had been recently spackled/repaired which is fine - except the cleaning staff did not clean up the dust from this repair.,cleanliness;room_facilities,negative,1,Mentions repair (room_facilities) and lack of cleanup (cleanliness). Sentiment is negative due to complaint about dust not being cleaned.
a8bd10563da4a4ba_s002,62fa571ddd54,San Diego,Room was clean and ready.,cleanliness,positive,0,
ab10bfa8445749fa_s000,5ac72eb101c1,Seattle,"A clean, well-run hotel in a great location for exploring the Queen Anne neighborhood of Seattle or walking to Seattle Center or downtown.",location_transport;cleanliness,positive,1,
abecc34449f82465_s002,5ac72eb101c1,Seattle,We stayed in two different rooms that were equally as clean.,cleanliness,positive,0,
bb5326ab2ba5e4d7_s000,cabad4abd2ba,Orlando,"We stayed for 4 nights and the room was very spacious, clean and modern.",cleanliness;room_facilities,positive,1,
c413e1a9f199709c_s003,b115571efdc5,San Diego,The rooms have been recently remodeled and were clean and spacious.,cleanliness;room_facilities,positive,1,
c51fd2dd0c51fb57_s004,d702791f5180,San Francisco,Rooms are clean and roomy with windows that open.,cleanliness;room_facilities,positive,1,
d8e1a13456c7d9ec_s001,98bd44439ff5,Orlando,"The rooms were in good shape, clean and everything was updated and worked well.",cleanliness;room_facilities,positive,1,
d9621d3e6c22c4fa_s005,75334fbbe64c,New Orleans,"But, the room was always clean, plenty of fresh towels bathroom amenities, as well as a fridge, microwave, big screen HD TV with premium channels ( not that we were in the room long enough to watch them, but...).",cleanliness;room_facilities,positive,1,
e0c23a7b7a812322_s014,1bb0433b9fb8,San Diego,"Overall, good room, great staff, and being clean is a winning model for a hotel.",cleanliness;service;room_facilities,positive,1,
e22a5ff4dbceef13_s002,72a9d2fbc96c,Atlanta,Room was very clean and comfortable.,cleanliness;room_facilities,positive,1,
e850e11d2a225644_s007,bfb10d66f821,Anaheim,The bathroom also had drippy stains on the wall and where the tub meets the floor was pretty dirty too.,cleanliness,negative,0,
ec1e4396484d5f98_s014,75fef46b9663,Seattle,The room smelled musty.,cleanliness,negative,0,
edda46d2b31ee1de_s000,98bd44439ff5,Orlando,This room was not clean.,cleanliness,negative,0,
f96c1156a872de70_s005,d702791f5180,San Francisco,"The lobby is perfectly nice, did not smell, and I was very comfortable sitting there waiting for my ubers.",cleanliness;room_facilities,positive,1,
f96c1156a872de70_s006,d702791f5180,San Francisco,"The room was clean, quiet and the bed was comfortable (and I am actually quite picky about springy mattresses).",cleanliness;room_facilities;quiet_sleep,positive,1,
fc602fa9ca949962_s005,4ba7bdc9b246,San Diego,And there's a fair amount of dust and sharing of the (slow) elevator with construction dudes rolling away carts of material to dump.,cleanliness;room_facilities,negative,1,
fd8ee1ed05493119_s014,e0eeae8afde3,Orlando,There were weird brown stains on the bath.,cleanliness,negative,0,
00ae51d3871c2234_s005,445d9279fa58,New Orleans,Walk in and glass doors.,room_facilities,neutral,0,fragmentary description of room entry feature
00ae51d3871c2234_s013,445d9279fa58,New Orleans,"I hope you change your mind about returning to our hotel, please keep my email and phone number below so I can do everything possible to assist in reserving the area of the hotel which makes you most comfortable.",service,positive,0,
00e1847192ea117a_s002,445d9279fa58,New Orleans,Still an easy walk throughout the French Quarter.,location_transport,positive,0,
0d5a1bcb95dcd8a1_s007,445d9279fa58,New Orleans,A little dreary but good for the price and location.,location_transport;value,positive,1,"Ambience is dull, but the explicit judgment is good for the price and location."
142598d51208217e_s000,f6c6d40a783b,San Francisco,The hotel is conveniently located a few blocks from Union Square and we like that the room has decent size as well.,location_transport;room_facilities,positive,1,
164931693ae58a15_s021,bfb10d66f821,Anaheim,The area does close at exactly 930 so you need to get there early.,location_transport,neutral,0,
19491c06fc3538be_s003,4ba7bdc9b246,San Diego,It was a great location right on the beach.,location_transport,positive,0,
22a78f9df4c0c684_s008,4ba7bdc9b246,San Diego,"Some reviewers complain about the noise, but that is because there are a number of restaurants and pubs nearby - we were not bothered by their proximity.",location_transport;quiet_sleep,neutral,1,
23cdc85d91520f94_s002,e0eeae8afde3,Orlando,"Pros:20 mins walk to UniversalOver the road from Wet n WildVery cheapWalgreens just over the road, as is a KFCDairy Queen around the corner for yummy foodComfy beds (really comfy)Free WiFi in lobbyCons:Not particularly helpful staffNoise constantly all through the night from iFLYTheft - we stayed in two rooms and something went missing from both of them (staff didn't seem to care, we got one item back from a cleaner after bringing the Police in)Decor - paint and plaster peeling from wallsCleanliness - floors and bathroom wasn't cleaned every day (although fresh towels were available every day and beds were made daily)Noisy hotel - constant noise from other guestsSummary:So in summary, the thefts from maids is enough for me to recommend you don't stay here (we even know the maid was still kept on even after admitting taking the item!!!!).Its in a good location but other better hotels are also in this area, so book those first.",location_transport;cleanliness;service;room_facilities;quiet_sleep;value,negative,1,Explicit final recommendation not to stay outweighs earlier positives.
240066085a3d19d6_s000,d30be52b2a2a,Dallas,"We stayed here because there was a group on and I am a Mariott Rewards Elite member, AND I have stayed at MANY residence inn's across the US.This was a great location, right off the expressway and MINUTES away from most things in Dallas.",location_transport,positive,0,
2f9ba7de916cc18c_s012,4ba7bdc9b246,San Diego,"You can also walk pretty much anywhere in Pacific Beach from here shopping, restaurants, etc.",location_transport,positive,0,
31cf297c24ae081c_s007,4ba7bdc9b246,San Diego,The staff (especially Benny these two stays) are so helpful and pleasant that it feels like we are coming home each time we check in and that attitude helps the relaxation start when we walk into the lobby.,service,positive,0,
509d95d6348adc03_s000,f6c6d40a783b,San Francisco,"This centrally located hotel really tries to be hip and trendy, but the rooms leave a bit to desired.",location_transport;room_facilities,negative,1,The but-clause makes room dissatisfaction the final takeaway.
51715f1f263e4378_s000,9e8bc983cff4,Honolulu,"Even though this hotel is located (north end of Waikiki) away from the hustle and bustle of central Waikiki, we found this a wonderful spot.",location_transport,positive,0,
540633ecaaddf7cb_s001,bd1ba974bf11,Atlanta,"The first night, some sort of water leak wet the carpet near the bathroom.",room_facilities,negative,0,
57aabee8f813a19b_s007,79c2d98fa1cb,Chicago,This area is a little too close to (actually considered) the west side for my taste.,location_transport,negative,0,
5d5c08b0a60f6481_s011,4ba7bdc9b246,San Diego,Many restaurants and bars walking distance.,location_transport,neutral,0,
6043615dd8b7e2ae_s008,4ba7bdc9b246,San Diego,2. Ice machine not near the room.,room_facilities,negative,0,
678cdefb30f1f0cc_s004,98bd44439ff5,Orlando,Location was really convenient.,location_transport,positive,0,
67d0527268635df0_s001,445d9279fa58,New Orleans,The hotell is close to the city centre.,location_transport,neutral,0,
69458710f98babd6_s000,75334fbbe64c,New Orleans,"Great location, near the Canal trolly, easy to get around, great staff!",location_transport;service,positive,1,
69e432ef3aff803e_s000,75fef46b9663,Seattle,"This place was somewhat too expensive for me, but I chose it because close distance to the Convention Center was critical for me, and closer hotels were even more expensive.",location_transport;value,neutral,1,Price and location are presented as a tradeoff rather than a clear final judgment.
6a585f86b8714d5c_s000,bd1ba974bf11,Atlanta,Convenient location for Midtown.,location_transport,positive,0,
6de6181858aa8d78_s004,e0eeae8afde3,Orlando,It is right on International Drive and takes about 30 seconds to get to wet n wild so you can walk there and save on parking.,location_transport,positive,0,
74253f6620c5c202_s006,85a18ed72b1c,Dallas,Its 15 minutes to a half hour into downtown depending on time of day.,location_transport,neutral,0,
7596dd0b4a2d1eb8_s000,445d9279fa58,New Orleans,"Great location and great service...Beautiful courtyard with a pool, fountain, and serene sitting areas..",location_transport;service;room_facilities,positive,1,
78c0545cebd9c695_s002,1bb0433b9fb8,San Diego,"The rooms are modern, with a wonderful office and sitting area setup.",room_facilities,positive,0,
7e07d839c553a5ac_s010,445d9279fa58,New Orleans,I do apologize for not having microwaves in our rooms but we do always have our microwave available to guests in the breakfast area.,service;room_facilities,neutral,1,
7e97a6e85a7bbcfc_s001,f6c6d40a783b,San Francisco,"The location, our rooms, the staff, the rate -- it was all fabulous! :)",location_transport;service;room_facilities;value,positive,1,
883c8e8c0e6f9edc_s009,445d9279fa58,New Orleans,"Rooms face the courtyard, nearby buildings, the street - so be sure to request the view / area that most suits your needs.",room_facilities,neutral,0,
8b951ff30f9ebc3c_s003,f6c6d40a783b,San Francisco,"The hotel is walking distance to lots of restaurants, shopping, entertainment and the train station!",location_transport,positive,0,
8ca4d38a9dbaa0a0_s004,4ba7bdc9b246,San Diego,Great location for a lot less cost.,location_transport;value,positive,1,
93e5eab041b7a0da_s002,75334fbbe64c,New Orleans,"We loved our room, we loved the location (close to everything, but secluded when compared to Bourbon St), the morning croissants were a great and welcome touch, and we even took the advantage of the pool (rarely used for some reason!).",location_transport;room_facilities,positive,1,"Food is ignored; room, location, and pool remain positive."
9a164e5741f44370_s001,85a18ed72b1c,Dallas,The full kitchen and living room area are comfortable and the beds with large closet are great.,room_facilities,positive,0,
9b55407aef808bf2_s000,f6c6d40a783b,San Francisco,Location of hotel is nice with good price.,location_transport;value,positive,1,
a9eb6c867c6c0e62_s001,75334fbbe64c,New Orleans,"This hotel has the perfect price, is in the most perfect location and has the the friendliest staff.",location_transport;service;value,positive,1,
aa819eb8262e19a9_s000,f6c6d40a783b,San Francisco,"So glad we chose Hotel Diva, staff was super, hotel was clean and convenient location.",location_transport;cleanliness;service,positive,1,
b7ba3a2e08377c95_s000,4ba7bdc9b246,San Diego,"Stayed here because I attended a seminar at the Catamaran hotel, a 10-15 min walk on the boardwalk.",location_transport,neutral,0,
bad29eb8b187257d_s000,84953c35a9d0,San Francisco,Booked online without taking proper account of location which is in an area which is looking rather tired and feels a bit downmarket.,location_transport,negative,0,
c1fc69092404fcd5_s009,5ac72eb101c1,Seattle,"We felt perfectly safe walking in the evening and there are plenty of eating options, like a nice Pho Viet Anh and the corner QFC market which is open 24 hours.",location_transport,positive,0,
ca942f3ccecbf42a_s013,e0eeae8afde3,Orlando,Tell reception immediately- as they shouldn't be there!This hotel is very close to Universal- which is very good!,location_transport,positive,0,
ce7f09356d9f6c99_s003,bd1ba974bf11,Atlanta,( you do walk through a church parking lot).,location_transport,neutral,0,
d4afd6d56c48a3ea_s000,445d9279fa58,New Orleans,"The location, just on the verge of French Quarter with 5-minute walk to its center sells this htel easily.",location_transport,positive,0,
d5f10ac1755f7af0_s004,98bd44439ff5,Orlando,this hotel is in the middle of nowhere.,location_transport,negative,0,
eb502decea6868f3_s000,f6c6d40a783b,San Francisco,This hotel is conveniently located few mins away from Union square.,location_transport,positive,0,
ec54e73d8395978f_s002,75334fbbe64c,New Orleans,We were a little worried because we had never stayed downtown New Orleans and did not know what to expect.,location_transport,neutral,0,
eefa3b402d59a975_s011,75334fbbe64c,New Orleans,The location is quiet at night and close to the French Quarter as well as the Warehouse District.,location_transport,positive,0,
f3ce6c2c2855c43a_s001,4ba7bdc9b246,San Diego,He helped get us settled in our room and even suggested a mexican restaurant within walking distance of the hotel (which was wonderful).,location_transport;service,positive,1,
fd03cf5a67937e1b_s001,79c2d98fa1cb,Chicago,I walked from the hotel to the Greek neighborhood and it was just 25 minute walk.,location_transport,neutral,0,
164931693ae58a15_s005,bfb10d66f821,Anaheim,I was a bit nervous that traffic might be bad around game time as fans are coming in but I was surprised to see no traffic at all.,location_transport,positive,0,
240066085a3d19d6_s005,d30be52b2a2a,Dallas,"I read some other reviews and can say that while this isn't a 2014 newly built property it really is in great shape, wear and tear here and there but nothing that was really out of the ordinary from other hotels, there were no stains on the floors, no holes in walls, doors worked great, the noise outside the halls and outside were nothing bad and no weird smells!The pool was a little highly chlorinated",cleanliness;room_facilities;quiet_sleep,positive,1,
38d5e694262fa690_s000,bfb10d66f821,Anaheim,I found this whole place to be a night mare.,general,negative,0,
3d5eef749c410a2a_s001,75334fbbe64c,New Orleans,"To top it off, its situated perfectly in the New Orleans CBD, just a minute walk to the quarter, but a world away in terms of quiet and calm late night.",location_transport;quiet_sleep,positive,1,
3e559efaedf94bea_s001,98bd44439ff5,Orlando,"so many choices... sausage gravy and biscuits, waffles, hard boiled eggs, yogurt, egg omletes, sausage patties.great location... 5 miles from UCF, right off hwy but very quiet hotel.this will definately be our hotel of choice for the next 4 years while our son attends UCF!Dear",location_transport;quiet_sleep,positive,1,Food is ignored; the stable hotel aspects are location and quietness.
49911daad46da536_s009,7213d9173df3,San Diego,This is Hotel Circle for crying out loud and they charge 18 bucks a day which is ridiculous.,value,negative,0,
50445e282a418b99_s000,98bd44439ff5,Orlando,"As with other reviews, in spite of the freeway noise the hotel is above par, on the older side but extremely well maintained.",room_facilities;quiet_sleep,positive,1,Mentions noise (quiet_sleep) and maintenance/age (room_facilities) with overall positive sentiment.
555d5efc2b425245_s018,f6c6d40a783b,San Francisco,They may want to consider those little please do not disturb door hangers to solve that problem.,service,neutral,0,"suggestion for improvement, not clearly positive or negative"
5ce51e8349df8829_s001,75334fbbe64c,New Orleans,"The hotel has quiet rooms, excellent shower, complimentary French breakfast, very very friendly personnel: after a day in town it really felt like coming home.",service;room_facilities;quiet_sleep,positive,1,"Mentions complimentary French breakfast, but it's part of a broader positive experience. Core aspects are quiet rooms, shower (facilities), and friendly personnel (service)."
5d5c08b0a60f6481_s004,4ba7bdc9b246,San Diego,The rooms were quiet and comfortable.,room_facilities;quiet_sleep,positive,1,
64a198c9f6ff9412_s007,79c2d98fa1cb,Chicago,"The next day after work (after getting little sleep the night before), I tested the bed.",room_facilities,neutral,0,
64a198c9f6ff9412_s029,79c2d98fa1cb,Chicago,"And after all, a good nights sleep is a BASIC requirement for business travel.",quiet_sleep,negative,0,The fragment expresses dissatisfaction about not getting proper sleep.
68d99b391b76ab76_s003,bfb10d66f821,Anaheim,Halls were loud with people talking.,quiet_sleep,negative,0,
6aa9190abb14fc73_s002,98bd44439ff5,Orlando,"We were moving my cousin to Orlando, and needed a late night hotel last minute.",general,neutral,0,
722d306de8abe7e1_s001,75334fbbe64c,New Orleans,"Quiet location, older building with character, which is my preference over a large chain hotel.",location_transport;quiet_sleep,positive,1,
7b86d768a0003b06_s008,f6c6d40a783b,San Francisco,Shower seemed newer than the rest of the room.,room_facilities,neutral,0,
7d7f083465a36194_s001,84953c35a9d0,San Francisco,"The room looked out onto a brick wall on the ground floor at the back of the hotel - it was awful, very depressing.",room_facilities,negative,0,
858b616c6e21c1dd_s000,4ba7bdc9b246,San Diego,"My daughter won a charity silent auction for 2 nights at the Ocean Park Inn, and she gave it to me as a Christmas present.",general,neutral,0,
8abae5978177545d_s008,4ba7bdc9b246,San Diego,We slept with the balcony door open to get the ocean breeze and the soft soothing sound of the waves.,quiet_sleep,positive,0,
8ad3e7801c4a0147_s007,445d9279fa58,New Orleans,"Check in was ok, no worries, we had a room on the 2nd floor overlooking the pool....big mistake.....TV wasnt working, reported it to front desk the first day, they forgot, after a sleepless night listening to people come and go at all hours right outside our room and walking back and forwards along the balcony we mentioned it to the front desk and 2 young men were very helpful, one was Lawrentey and the other I cannot remember his name..we mentioned TV not working and no light globe in our bathroom light, but the person who was going to fix it had left so they gave us another room, next door....at least the light worked and the TV.......5 out of 6 nights were noisy noisy noisy, security is apparently on site 10pm-7am",service;room_facilities;quiet_sleep,negative,1,Helpful staff recovery does not outweigh repeated facilities failures and noise.
8cf37f8e6f1d8d8d_s001,bfb10d66f821,Anaheim,I usually dont have my room cleaned during the week because I'm an adult and should clean up after myself but the Do Not Disturb sign was not in my room.,service,negative,0,
98bd0180f4d2ee20_s008,4ba7bdc9b246,San Diego,It is quiet right on the boardwalk close to great food and nightlife.,location_transport,positive,0,
992efc8377a2fb89_s004,f6c6d40a783b,San Francisco,We had a double room with two separate sleeping areas.,room_facilities,neutral,0,
a243a116cf032379_s007,445d9279fa58,New Orleans,A/C unit made rattle noise.,room_facilities,negative,0,
a50fcbdf6353e969_s010,bfb10d66f821,Anaheim,"We asked to be moved our 2nd day to the courtyard side of the building, we were moved and the rest of our stay was very quiet.",quiet_sleep,positive,0,
a85a7d10d0557a33_s001,98bd44439ff5,Orlando,Big hole in the bathroom wall were this bug/roach came out of.,room_facilities,negative,0,Describes a maintenance/hygiene issue with the physical structure of the room.
a9f1255acc8db1b3_s004,f6c6d40a783b,San Francisco,I moved to s smaller back room that was not as nice as 320 but managed to get some sleep for the remainder of my stay.- book well ahead if you are going during a conference event.,room_facilities;quiet_sleep,negative,1,
b0ee8901aec7a87d_s002,bfb10d66f821,Anaheim,There was plenty of room (only in there to sleep).,room_facilities,positive,0,
b6a817cff00bf91c_s007,d702791f5180,San Francisco,The biggest problem was that the area was loud at night with the homeless and druggies talking/yelling until 1am.,quiet_sleep,negative,0,
b6c24fcdd7cc698d_s012,4ba7bdc9b246,San Diego,"There is a bar/restaurant on the front side of the Inn, which was loud at night, but we could not hear any of that noise from our room.",quiet_sleep,positive,0,
c3e79b1b9a74c77e_s033,84953c35a9d0,San Francisco,So my sister decides we sleep with the lights on.,quiet_sleep,negative,0,The fragment still clearly signals a bad sleeping situation.
c423c2fe211b23b7_s005,445d9279fa58,New Orleans,The location was nice because it was just a few minute walk Into the heart of the French Quarter but far enough away to avoid the noise.,location_transport,positive,0,
c8dbee813894ba8f_s008,f6c6d40a783b,San Francisco,You will not be able to sleep without the ear plugs.,quiet_sleep,negative,0,
ce56eaa4a8571100_s011,75334fbbe64c,New Orleans,We went to bourbon st on Christmas night and found it to be fine .... Pretty quiet,location_transport;quiet_sleep,positive,1,
d12c210f2e93f926_s000,84953c35a9d0,San Francisco,"Great location, close to Union Square and bus routes but not right in the middle of all the noise.",location_transport,positive,0,
d4d6905e6d0f82ef_s004,75334fbbe64c,New Orleans,"The bed were comfy, and the room quiet despite being right next to the hustle and bustle.",room_facilities;quiet_sleep,positive,1,
d61938f864e19213_s002,f6c6d40a783b,San Francisco,Plus it was really loud even at night which made sleeping difficult.,quiet_sleep,negative,0,
d723bef66c29cba4_s007,84953c35a9d0,San Francisco,I wish you would have booked directly to avoid 3rd party issues with these companies and hope you called me directly so that we could have accommodated your request due to this unfortunate incident.,service,neutral,0,
d9b3f36c13a73a6b_s008,445d9279fa58,New Orleans,The location results in a quieter sleep but verify your surroundings before venturing.,location_transport;quiet_sleep,positive,1,The main judgment is that the location helps with quieter sleep; the caution is secondary.
ddfe01ae6b76cea1_s002,75334fbbe64c,New Orleans,The only down side is the walls are thin so its very noisy.,quiet_sleep,negative,0,
ea6d0e08c09a1b75_s012,4ba7bdc9b246,San Diego,"Friday through Sunday night were busy, and there was lots of music and bar noise, however, the sliding patio doors are some crazy industrial strength, and with the door closed, a lot of the noise was reduced.",quiet_sleep,neutral,0,"Noise was present, but the doors also mitigated it."
eb5508bc0208ba83_s005,98bd44439ff5,Orlando,"the Air con was noisy, we were travelling around so were not here too long thank goodness.",room_facilities,negative,0,
f06c47210d20df2f_s020,f6c6d40a783b,San Francisco,"They tested it over and over, and it was painfully loud and jarring.",room_facilities,negative,0,
f094cae19c4a2484_s003,4ba7bdc9b246,San Diego,"We stayed on 2nd floor, it is a bit noisy from the boardwalk traffic down below.",quiet_sleep,negative,0,
f4f26d6ec3b7ef57_s024,75334fbbe64c,New Orleans,"Mind you, there is noise, but it is city noise which you would get in any city hotel such as fire trucks making runs or ambulance runs.",quiet_sleep,neutral,0,
f5204938ef4c433e_s000,f6c6d40a783b,San Francisco,I can't sleep comfortably in a hotel if I don't feel my room is clean.,cleanliness,negative,0,
f8f2ed3be89dc73a_s000,98bd44439ff5,Orlando,"Good customer service , room clean, quiet , nice are but one thing difrent information on site than what they give you on the phone.",cleanliness;service;quiet_sleep,positive,1,A minor information mismatch does not outweigh the mainly positive assessment.
fe2c6da3934f0533_s002,98bd44439ff5,Orlando,"Able to clearly hear street noise, not able to access high-speed internet despite room being close to lobby.",room_facilities;quiet_sleep,negative,1,
06880a3b0199e02b_s001,f6c6d40a783b,San Francisco,"Front desk staff are excellent, and knowledgeable about San Francisco.",service,positive,0,
0975154011c4bd04_s003,b115571efdc5,San Diego,"Our room was extremely clean, quiet and had a hot tub!",cleanliness;room_facilities;quiet_sleep,positive,1,
16bf95563c918e98_s008,4ba7bdc9b246,San Diego,From the patio you do get a slight view if you turn one of the chairs and put it right in the corner.,room_facilities,neutral,0,
1ba6f1bee9ad83ab_s014,85a18ed72b1c,Dallas,Cop cars everywhere and the neighborhood didnt seem very safe.,location_transport,negative,0,
235b082019d11770_s006,75334fbbe64c,New Orleans,Loved the wood floors and large windows.,room_facilities,positive,0,
2dfe55d34dbcaf4e_s008,445d9279fa58,New Orleans,but hey it's the French Quarter and we weren't looking to do aerobics in the room . .,room_facilities,negative,0,
30d4c81010a302e8_s036,75334fbbe64c,New Orleans,Of additional note was our view - of which there was none.,room_facilities,negative,0,
31b2accdc5c57ef6_s012,f6c6d40a783b,San Francisco,There were only two things we would suggest - 1) have both elevators working and 2) it would have been nice to have the sink in the bathroom.,room_facilities,negative,0,"Suggests improvements for elevator and bathroom sink, both related to room facilities."
35782c67018ebb5c_s003,bfb10d66f821,Anaheim,"and Very comfortable Free internet that connected easily and quickly, no special codes required.",room_facilities,positive,0,
3abf841092d7fb3f_s001,ad12fec3ad85,San Francisco,Such a charming bed and breakfast with character.,general,positive,0,
4043380019dbccf2_s007,75334fbbe64c,New Orleans,"I know sometimes at hotels water pressure is not the best, but the hotel shower water pressure was really low.",room_facilities,negative,0,
57f04df19b0a6ec5_s016,4ba7bdc9b246,San Diego,"There are plenty of windows all along the hallways, so it felt bright and fresh, unlike some hotels that have dark, no-window hallways.",room_facilities,positive,0,
5997f54c4312ee12_s001,7669c6fc99e7,Chicago,"We were on the 15th floor, and our room had high ceilings, was clean and still looked new.",cleanliness;room_facilities,positive,1,
59cfe00eb1d98e13_s002,7213d9173df3,San Diego,Surprised at the quality of the breakfast - get there early - and the pool area.,general,positive,0,
6043615dd8b7e2ae_s011,4ba7bdc9b246,San Diego,Although the cost of the room was very very high for a room with no ocean view.,value,negative,0,
665a5dc6c3e75b46_s007,4ba7bdc9b246,San Diego,7. Parking in garage is very tight.,location_transport,negative,0,
6753a5bd8dd814c9_s002,bd1ba974bf11,Atlanta,Rooms basic - no real issues other,room_facilities,neutral,0,
68d99b391b76ab76_s009,bfb10d66f821,Anaheim,Nice to have a kitchenette.,room_facilities,positive,0,
6eda60bbb07c8e50_s017,4ba7bdc9b246,San Diego,That said we will look to this property again next year on our annual beat the heat of Phoenix trip to San Diego.,general,positive,0,
7108c40a8d7c4d96_s003,75334fbbe64c,New Orleans,Our top floor suite had beautiful exposed beams and brick walls.,room_facilities,positive,0,
773410cb8381abf1_s028,5ac72eb101c1,Seattle,Only one phone on the desk in the living room.,room_facilities,neutral,0,
77d425dd3d48b096_s004,bfb10d66f821,Anaheim,A grab and go breakfast was included along with free WiFi and parking.,location_transport;room_facilities,positive,1,Breakfast is ignored; parking and WiFi remain as stable core aspects.
79dbe0d6bb525f9c_s007,75334fbbe64c,New Orleans,The bed was comfortable and the TV had good channels.,room_facilities,positive,0,
