sample_id,review_round,reviewer_id,decision,schema_issue_type,citation_issue_type,language_issue_type,behavior_issue_type,notes
v4acc_d9dd909e8f01b643,r2,codex_r2,accept,none,none,none,none,Second-pass review passed.
v4acc_5ce25a0839fdfc4c,r1,codex_r1,accept,none,none,none,none,Accepted after Codex pilot review.
v4acc_5ce25a0839fdfc4c,r2,codex_r2,accept,none,none,none,none,Second-pass review passed.
v4acc_63cc14f1a3ab8dd4,r1,codex_r1,accept,none,none,none,none,Accepted after Codex pilot review.
v4acc_ce348b184a2d0695,r1,codex_r1,accept,none,none,none,none,Accepted after Codex pilot review.
v4acc_d0ba55c964f3f691,r1,codex_r1,accept,none,none,none,none,Accepted after Codex pilot review.
v4acc_f422e27fd9638252,r1,codex_r1,accept,none,none,none,none,Accepted after Codex pilot review.
v4acc_07e140fa43f3f975,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e5c897885a2a6751,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_8edbbca7984af6f8,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_598c43938c955aa1,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_d70ec456ead5a727,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7de07270db9b273a,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e5f4ce78406399f4,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7ba52fa5ffed341d,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_fe05b8d899bb7a80,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_eda49c1803a8de42,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e4a6af73271ae91a,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_8e40c060b512487e,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_360b88cc9ed7aea2,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_6d5e9a0479cae427,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_cc77d88b3327a6e2,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7ac8d8c209b78ae7,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_255013074b045179,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7225a051e5562b6c,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_263bb5f302f7f305,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_2f3daf6fc87f07bb,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_542dc48180ea30cd,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_49e548056af17f20,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_a5582c21c06cfb60,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_0316646ea455f27f,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_cf8b65e8704b3d72,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_c16f3c20cee8b04f,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_45ef29d90ffb0216,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_93df2b53daeebf0d,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_76390cdd7b1a7e00,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7c93e6e64d02315e,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_53304aad47ce63cc,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_970457fe2d4bc1b0,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_4b8de6f10ae0bc88,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_6656e3dbe8e4b010,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_90ee5c4855a8c9b6,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_dfec4ba9d734fa05,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_a8350c1075fdb495,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_571076c8e8ba8f7b,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e6a2a30ccdb74d56,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_3c94318563135569,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_5af551a00ddb41eb,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_92ed0160247f25a8,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_be138511587b337a,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_5ff50f175b728505,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_3496eb05098a1281,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_11ba8e59a45fb37f,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_072266c8424d8d61,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_3d1f92f8e6b49c24,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_ba2a51bb44e89c0c,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_213cfd793a9dbae0,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7daed5b928d7fffd,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_d19529934772209f,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_b2eacdb4288b3b52,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_5d61bad6b029e735,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_208941ea282a643d,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_23b688e1b95e8afb,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_02777f44d33d9210,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_009b86aa817fc625,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_30695425a8b9059c,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7dd02d6b904e4177,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_b5ed558ec3ab3b07,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_22a10c8589914681,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_4bcd240345d031c8,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e8341025c1626b06,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_8d0c6b699243ab8b,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_39c4251d989420b4,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_90f6d0c1230aacf1,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_984344043bef2cc5,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_c62c330a7d88bf0c,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_85c8651d3bbdc72f,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_8c6f430b6ce3848b,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_c344f8c24ea4f9ad,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_f54eacfa92663290,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_4a8541de2d294ead,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_18bdcb388888f390,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e9cd2aad5e39d335,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_389a0722b25a5d74,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_35a90a9dbb4f2f2a,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_8a7228bb07939626,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_5aab6c00c9c59181,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_f8e7f9c5111b82eb,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_c20524b7e76785a4,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_663e721e807b908b,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_dc3cfab6a44e786a,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_d3ea57e9f2277c21,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_ce1e3df14ff5869b,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e8d7dddfab406113,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_dd2c447a4af9a3a0,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_f9c70030e5a5f005,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_425619dc09fe5865,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_7ef278200e7e24c3,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_9265cc0ef57b6327,r1,codex_r1_remaining92,edit_then_accept,none,none,none,none,Accepted after Codex review of remaining92 silver candidates.
v4acc_e333e5fddf1576b7,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_e333e5fddf1576b7,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_bb6d8afc0ff3a1e8,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_bb6d8afc0ff3a1e8,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c5ba649d17fef9b9,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c5ba649d17fef9b9,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_b903f7d7187931ca,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_b903f7d7187931ca,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_930515551f5fb4e9,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_930515551f5fb4e9,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_45e00a7cb640162c,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_45e00a7cb640162c,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_977c747da92f2838,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_977c747da92f2838,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_de1b9266af0300dc,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_de1b9266af0300dc,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_1616b17a850d3c83,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_1616b17a850d3c83,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_f1a40e8e0ccf82fb,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_f1a40e8e0ccf82fb,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7a1696e32607962c,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7a1696e32607962c,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_396ea49419f0f30b,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_396ea49419f0f30b,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_a5657afd26e8c62b,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_a5657afd26e8c62b,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_2c4378566f972657,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_2c4378566f972657,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_bc2b502f7a5c4d09,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_bc2b502f7a5c4d09,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_fa714f7af4c3dc3e,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_fa714f7af4c3dc3e,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_4e1aff1951cd6f65,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_4e1aff1951cd6f65,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_04a93270319e57af,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_04a93270319e57af,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_5af7a5b59a612a50,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_5af7a5b59a612a50,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_d17739f45401f079,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_d17739f45401f079,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_3ed11514bcdb68bb,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_3ed11514bcdb68bb,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_d845b8835210e8fa,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_d845b8835210e8fa,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_a0889ee61702fec9,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_a0889ee61702fec9,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_33aba1650abe790f,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_33aba1650abe790f,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_efc6e25550a25069,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_efc6e25550a25069,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_f96c5f23840e9c46,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_f96c5f23840e9c46,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_91159494357b0c5f,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_91159494357b0c5f,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_838837d7806a8598,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_838837d7806a8598,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_3e44c70384c593d5,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_3e44c70384c593d5,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_56a1f6624ee794ec,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_56a1f6624ee794ec,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_4dee5da6f08cf600,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_4dee5da6f08cf600,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c160c16c526655fa,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c160c16c526655fa,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7163ff718cd499b0,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7163ff718cd499b0,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_afdba33de4553ae0,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_afdba33de4553ae0,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c0f2cc15fddc8a38,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c0f2cc15fddc8a38,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7fbf95d59f758525,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7fbf95d59f758525,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_010692d40046e63d,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_010692d40046e63d,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_bf599e0b9178f1b3,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_bf599e0b9178f1b3,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_5bab0082701a89cc,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_5bab0082701a89cc,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_b9fe6b56531e79dc,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_b9fe6b56531e79dc,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_abd3fea945570563,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_abd3fea945570563,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_fa0e2560a9b3f777,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_fa0e2560a9b3f777,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7be7bf6410997a62,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_7be7bf6410997a62,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_b41bf7fb332a5af7,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_b41bf7fb332a5af7,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c102de772b8b7f4e,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_c102de772b8b7f4e,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_f9aeb10b809e2aa0,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_f9aeb10b809e2aa0,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_0d532d2fca46593a,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_0d532d2fca46593a,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_521c5f9a96f5070c,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_521c5f9a96f5070c,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_271dd5c12b1528cf,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_271dd5c12b1528cf,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_808eeb457e76f996,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_808eeb457e76f996,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_99c69cc960e4d621,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_99c69cc960e4d621,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_2d1e73a93bbab89e,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_2d1e73a93bbab89e,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_ce13b579c779246d,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_ce13b579c779246d,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_11de45763361306a,r1,codex_gold_r1,accept,none,none,none,none,Accepted after Codex gold manual review.
v4acc_11de45763361306a,r2,codex_gold_r2,accept,none,none,none,none,Accepted after Codex gold manual review.
